Sexo;Grupo de edad (5);Periodo;Total
ambos sexos;de 55 y más años;1982TII;6.027,4
ambos sexos;de 55 y más años;1982TI;5.976,1
ambos sexos;de 55 y más años;1981TIV;5.916,3
ambos sexos;de 55 y más años;1981TIII;5.858,0
ambos sexos;de 55 y más años;1981TII;5.810,9
ambos sexos;de 55 y más años;1981TI;5.768,4
ambos sexos;de 55 y más años;1980TIV;5.748,5
ambos sexos;de 55 y más años;1980TIII;5.707,8
ambos sexos;de 55 y más años;1980TII;5.673,6
ambos sexos;de 55 y más años;1980TI;5.636,3
ambos sexos;de 55 y más años;1979TIV;5.580,8
ambos sexos;de 55 y más años;1979TIII;5.536,3
ambos sexos;de 55 y más años;1979TII;5.484,1
ambos sexos;de 55 y más años;1979TI;5.435,1
ambos sexos;de 55 y más años;1978TIV;5.374,2
ambos sexos;de 55 y más años;1978TIII;5.344,2
ambos sexos;de 55 y más años;1978TII;5.305,9
ambos sexos;de 55 y más años;1978TI;5.269,9
ambos sexos;de 55 y más años;1977TIV;5.222,4
ambos sexos;de 55 y más años;1977TIII;5.181,6
ambos sexos;de 55 y más años;1977TII;5.150,3
ambos sexos;de 55 y más años;1977TI;5.099,5
ambos sexos;de 55 y más años;1976TIV;5.028,1
ambos sexos;de 55 y más años;1976TIII;4.966,4
varones;total;1995TIV;5.267,5
varones;total;1995TIII;5.212,2
varones;total;1995TII;5.256,5
varones;total;1995TI;5.218,7
varones;total;1994TIV;5.171,9
varones;total;1994TIII;5.105,6
varones;total;1994TII;5.056,9
varones;total;1994TI;5.018,4
varones;total;1993TIV;4.965,8
varones;total;1993TIII;4.913,5
varones;total;1993TII;4.926,4
varones;total;1993TI;4.936,8
varones;total;1992TIV;4.858,3
varones;total;1992TIII;4.762,6
varones;total;1992TII;4.789,7
varones;total;1992TI;4.744,2
varones;total;1991TIV;4.609,5
varones;total;1991TIII;4.528,0
varones;total;1991TII;4.543,3
varones;total;1991TI;4.507,3
varones;total;1990TIV;4.446,6
varones;total;1990TIII;4.423,8
varones;total;1990TII;4.442,5
varones;total;1990TI;4.391,1
varones;total;1989TIV;4.366,8
varones;total;1989TIII;4.324,9
varones;total;1989TII;4.351,1
varones;total;1989TI;4.297,5
varones;total;1988TIV;4.244,4
varones;total;1988TIII;4.183,9
varones;total;1988TII;4.208,3
varones;total;1988TI;4.153,6
varones;total;1987TIV;4.088,8
varones;total;1987TIII;4.058,9
varones;total;1987TII;4.074,7
varones;total;1987TI;3.979,2
varones;total;1986TIV;3.934,6
varones;total;1986TIII;3.922,0
varones;total;1986TII;3.895,8
varones;total;1986TI;3.860,8
varones;total;1985TIV;3.840,7
varones;total;1985TIII;3.791,7
varones;total;1985TII;3.767,9
varones;total;1985TI;3.697,8
varones;total;1984TIV;3.621,7
varones;total;1984TIII;3.586,1
varones;total;1984TII;3.571,2
varones;total;1984TI;3.523,3
varones;total;1983TIV;3.446,6
varones;total;1983TIII;3.411,0
varones;total;1983TII;3.421,9
varones;total;1983TI;3.372,3
varones;total;1982TIV;3.308,2
varones;total;1982TIII;3.278,8
varones;total;1982TII;3.271,9
varones;total;1982TI;3.209,4
varones;total;1981TIV;3.166,3
varones;total;1981TIII;3.127,8
varones;total;1981TII;3.136,5
varones;total;1981TI;3.080,1
varones;total;1980TIV;3.054,5
varones;total;1980TIII;3.009,0
varones;total;1980TII;2.997,2
varones;total;1980TI;2.928,8
varones;total;1979TIV;2.860,7
varones;total;1979TIII;2.834,3
varones;total;1979TII;2.846,0
varones;total;1979TI;2.780,7
varones;total;1978TIV;2.728,3
varones;total;1978TIII;2.667,3
varones;total;1978TII;2.680,7
varones;total;1978TI;2.610,2
varones;total;1977TIV;2.553,6
varones;total;1977TIII;2.507,4
varones;total;1977TII;2.516,8
varones;total;1977TI;2.481,6
varones;total;1976TIV;2.434,9
varones;total;1976TIII;2.390,6
varones;de 16 a 19 años;1995TIV;865,3
varones;de 16 a 19 años;1995TIII;846,2
varones;de 16 a 19 años;1995TII;878,0
varones;de 16 a 19 años;1995TI;870,2
varones;de 16 a 19 años;1994TIV;868,6
varones;de 16 a 19 años;1994TIII;840,5
varones;de 16 a 19 años;1994TII;849,8
varones;de 16 a 19 años;1994TI;848,6
varones;de 16 a 19 años;1993TIV;842,7
varones;de 16 a 19 años;1993TIII;841,0
varones;de 16 a 19 años;1993TII;850,9
varones;de 16 a 19 años;1993TI;847,7
varones;de 16 a 19 años;1992TIV;833,6
varones;de 16 a 19 años;1992TIII;802,8
varones;de 16 a 19 años;1992TII;812,4
varones;de 16 a 19 años;1992TI;796,3
varones;de 16 a 19 años;1991TIV;788,0
varones;de 16 a 19 años;1991TIII;771,7
varones;de 16 a 19 años;1991TII;795,6
varones;de 16 a 19 años;1991TI;789,0
varones;de 16 a 19 años;1990TIV;778,0
varones;de 16 a 19 años;1990TIII;759,7
varones;de 16 a 19 años;1990TII;782,6
varones;de 16 a 19 años;1990TI;773,0
varones;de 16 a 19 años;1989TIV;756,2
varones;de 16 a 19 años;1989TIII;743,0
varones;de 16 a 19 años;1989TII;761,8
varones;de 16 a 19 años;1989TI;741,5
varones;de 16 a 19 años;1988TIV;722,1
varones;de 16 a 19 años;1988TIII;691,9
varones;de 16 a 19 años;1988TII;712,7
varones;de 16 a 19 años;1988TI;702,5
varones;de 16 a 19 años;1987TIV;687,3
varones;de 16 a 19 años;1987TIII;683,3
varones;de 16 a 19 años;1987TII;707,6
varones;de 16 a 19 años;1987TI;716,9
varones;de 16 a 19 años;1986TIV;719,5
varones;de 16 a 19 años;1986TIII;729,0
varones;de 16 a 19 años;1986TII;734,4
varones;de 16 a 19 años;1986TI;717,1
varones;de 16 a 19 años;1985TIV;701,8
varones;de 16 a 19 años;1985TIII;686,2
varones;de 16 a 19 años;1985TII;698,3
varones;de 16 a 19 años;1985TI;667,3
varones;de 16 a 19 años;1984TIV;653,5
varones;de 16 a 19 años;1984TIII;646,9
varones;de 16 a 19 años;1984TII;660,1
varones;de 16 a 19 años;1984TI;655,2
varones;de 16 a 19 años;1983TIV;640,2
varones;de 16 a 19 años;1983TIII;646,2
varones;de 16 a 19 años;1983TII;661,3
varones;de 16 a 19 años;1983TI;641,9
varones;de 16 a 19 años;1982TIV;611,1
varones;de 16 a 19 años;1982TIII;617,4
varones;de 16 a 19 años;1982TII;623,6
varones;de 16 a 19 años;1982TI;606,8
varones;de 16 a 19 años;1981TIV;601,0
varones;de 16 a 19 años;1981TIII;594,1
varones;de 16 a 19 años;1981TII;620,3
varones;de 16 a 19 años;1981TI;584,6
varones;de 16 a 19 años;1980TIV;573,0
varones;de 16 a 19 años;1980TIII;561,0
varones;de 16 a 19 años;1980TII;566,0
varones;de 16 a 19 años;1980TI;543,3
varones;de 16 a 19 años;1979TIV;526,0
varones;de 16 a 19 años;1979TIII;522,5
varones;de 16 a 19 años;1979TII;536,1
varones;de 16 a 19 años;1979TI;516,9
varones;de 16 a 19 años;1978TIV;499,9
varones;de 16 a 19 años;1978TIII;487,5
varones;de 16 a 19 años;1978TII;496,1
varones;de 16 a 19 años;1978TI;467,1
varones;de 16 a 19 años;1977TIV;444,4
varones;de 16 a 19 años;1977TIII;441,1
varones;de 16 a 19 años;1977TII;461,6
