Sexo;Edad;Tipo de administración;Periodo;Total
Ambos sexos;Total;Empresa e Institución Pública;2020T4;172,7
Ambos sexos;Total;Empresa e Institución Pública;2020T3;172
Ambos sexos;Total;Empresa e Institución Pública;2020T2;161,4
Ambos sexos;Total;Empresa e Institución Pública;2020T1;157,2
Ambos sexos;Total;Empresa e Institución Pública;2019T4;161,5
Ambos sexos;Total;Empresa e Institución Pública;2019T3;147,4
Ambos sexos;Total;Empresa e Institución Pública;2019T2;147,2
Ambos sexos;Total;Empresa e Institución Pública;2019T1;147,7
Ambos sexos;Total;Empresa e Institución Pública;2018T4;142,8
Ambos sexos;Total;Empresa e Institución Pública;2018T3;139
Ambos sexos;Total;Empresa e Institución Pública;2018T2;132,8
Ambos sexos;Total;Empresa e Institución Pública;2018T1;146,6
Ambos sexos;Total;Empresa e Institución Pública;2017T4;152
Ambos sexos;Total;Empresa e Institución Pública;2017T3;160,7
Ambos sexos;Total;Empresa e Institución Pública;2017T2;158,9
Ambos sexos;Total;Empresa e Institución Pública;2017T1;156,3
Ambos sexos;Total;Empresa e Institución Pública;2016T4;163,9
Ambos sexos;Total;Empresa e Institución Pública;2016T3;156
Ambos sexos;Total;Empresa e Institución Pública;2016T2;159
Ambos sexos;Total;Empresa e Institución Pública;2016T1;159,7
